"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-01","12.75","0.00","0.0","0.0","25","35","20","25.1","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-02","6.26","0.00","0.0","0.0","31","37","24","14.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-03","7.16","0.56","0.0","0.0","32","58","24","15.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-04","16.33","0.06","0.0","0.0","53","61","32","29.1","38.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-05","14.76","0.01","0.4","0.0","24","32","14","30.0","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-06","6.71","0.16","1.8","1.2","15","20","13","18.1","27.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-07","15.21","0.01","0.2","1.2","12","15","2","23.0","36.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-08","10.51","0.00","0.3","1.2","4","21","-1","21.9","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-09","15.43","0.08","1.1","2.0","17","21","5","28.0","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-10","6.93","0.00","0.0","2.0","7","16","0","17.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-11","6.04","0.02","0.2","1.2","21","38","9","14.1","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-12","8.50","0.16","0.2","0.0","34","36","26","21.9","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-13","8.50","0.00","0.0","0.0","22","26","14","21.9","25.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-14","2.91","0.00","0.0","0.0","18","24","11","8.9","11.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-15","6.71","0.00","0.0","0.0","22","31","16","16.1","21.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-16","12.08","0.00","0.0","0.0","29","34","22","21.9","27.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-17","6.93","0.00","0.0","0.0","29","50","17","17.0","25.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-18","9.62","0.02","0.0","0.0","42","46","34","23.9","33.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-19","6.71","0.00","0.0","0.0","35","38","28","16.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-20","1.34","0.09","1.0","0.0","32","34","28","6.9","10.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-21","4.92","0.16","1.8","1.2","32","36","31","14.1","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-22","8.50","0.00","0.0","2.0","32","34","29","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-23","2.01","0.01","0.1","0.0","30","34","27","8.1","12.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-24","7.83","0.04","0.4","0.0","29","32","25","17.0","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-25","6.49","0.26","3.2","1.2","33","35","29","13.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-26","9.40","0.27","4.3","3.9","28","29","20","16.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-27","10.74","0.04","1.1","5.9","20","22","16","17.0","21.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-28","5.14","0.00","0.0","5.9","17","24","10","10.1","14.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-29","8.05","0.22","0.7","3.9","25","39","16","25.1","35.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-30","15.88","0.08","1.7","7.1","26","31","9","29.1","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-01-31","5.59","0.00","0.0","7.1","15","28","4","14.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-01","5.82","0.52","2.3","7.1","29","37","26","16.1","23.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-02","15.21","0.13","0.4","5.1","29","39","11","31.1","38.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-03","7.61","0.00","0.0","5.1","16","27","7","17.0","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-04","8.50","0.07","0.7","5.1","32","42","25","23.0","30.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-05","11.63","0.02","0.4","4.0","20","25","6","21.9","29.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-06","8.50","0.00","0.0","3.0","15","28","5","21.0","28.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-07","5.82","0.00","0.0","3.1","32","47","24","17.0","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-08","6.26","0.05","0.0","2.0","46","53","36","17.0","23.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-02-09","10.51","0.02","0.0","0.0","34","45","20","17.0","25.1"
