STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/1/23,8.05,0.66,0,0,44,44,39,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/2/23,6.26,0,0,0,41,43,39,14.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/3/23,7.16,0.28,0,0,39,40,36,16.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/4/23,6.04,0,0,0,37,41,32,12.1,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/5/23,8.72,0.12,0.3,0,37,41,32,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/6/23,10.51,0,0,0,35,39,32,21,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/7/23,10.29,0,0,0,41,51,36,21,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/8/23,14.32,0,0,0,49,56,46,23.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/9/23,15.66,0.24,0,0,50,54,35,25.1,40.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/10/23,9.62,0,0,0,35,35,30,19.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/11/23,7.16,0,0,0,31,36,28,15,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/12/23,9.17,0,0,0,34,38,27,16.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/13/23,5.37,0,0,0,31,41,23,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/14/23,7.38,0,0,0,38,51,32,16.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/15/23,6.49,0,0,0,43,53,35,17,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/16/23,8.95,0.41,0,0,44,46,41,16.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/17/23,9.62,0,0,0,43,44,36,18.1,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/18/23,16.11,0,0,0,33,36,20,29.1,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/19/23,8.95,0,0,0,23,33,17,16.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/20/23,5.59,0,0,0,35,45,30,12.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/21/23,5.14,0.01,0,0,40,48,33,8.1,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/22/23,5.37,0.5,0,0,44,45,43,8.9,12.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/23/23,2.46,0,0,0,45,49,43,6.9,10.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/24/23,8.28,0,0,0,50,55,48,15,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/25/23,11.86,0.39,0,0,53,59,50,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/26/23,6.49,0.01,0,0,44,50,31,18.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/27/23,8.95,0,0,0,36,42,30,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/28/23,11.18,0.13,0,0,38,42,34,17,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/29/23,9.62,0.14,0,0,39,40,31,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/30/23,6.93,0,0,0,31,37,27,15,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/31/23,10.29,0.08,0.9,0,34,36,31,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/24,10.07,0,0,0,31,32,27,18.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/24,12.08,0,0,0,30,39,26,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/24,7.16,0,0,0,33,36,31,14.1,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/24,4.92,0,0,0,32,37,24,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/24,6.71,0.01,0.1,0,31,37,26,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/24,4.25,0.21,2.6,2,33,34,31,10.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/24,7.83,0.02,0.8,3.1,32,34,31,14.1,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/24,8.95,0.08,0.4,1.2,33,36,30,18.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/24,13.2,0.93,2.8,1.2,35,36,33,23,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/24,12.08,0,0.1,2,33,34,30,23,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/24,8.28,0.01,0.3,2,31,34,27,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/24,13.42,0.77,4.7,2,32,36,30,36.9,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/24,16.55,0.09,2.4,5.1,27,33,1,28,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/24,16.11,0,0,3.9,-3,3,-10,25.9,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/24,10.96,0,0,3.9,-7,2,-10,16.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/24,16.11,0,0,3.9,-1,3,-7,23.9,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/24,12.97,0,0,3.9,7,20,2,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/24,6.49,0.06,0.8,3.9,20,28,12,16.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/24,14.09,0.04,1.1,5.1,12,14,5,19.9,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/24,9.84,0,0,3.9,10,18,4,15,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/24,9.84,0,0,3.9,9,21,1,19.9,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/24,11.41,0.03,0,3.9,25,34,21,21,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/24,3.8,0.36,0,3.9,34,37,33,8.9,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/24,5.82,0.18,0,3.1,35,38,34,12.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/24,8.95,0.28,0,1.2,36,38,35,16.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/24,5.82,0.38,0,0,38,40,37,16.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/24,7.61,0.01,0,0,38,41,36,17,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/24,11.41,0.04,0,0,37,39,33,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/24,10.96,0,0,0,34,39,30,19.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/24,9.62,0,0,0,38,41,37,17,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/24,10.07,0,0,0,37,38,36,19.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/24,10.29,0,0,0,40,55,35,23,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/24,10.29,0,0,0,38,42,31,18.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/24,6.93,0,0,0,34,42,29,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/24,9.17,0,0,0,36,46,29,18.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/24,10.51,0,0,0,34,41,30,16.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/24,4.92,0,0,0,37,48,30,12.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/24,6.49,0,0,0,38,49,30,17,21.9
